train_losses,test_losses,train_accs,test_accs
"[0.561252   0.38499951 0.29435849 0.25217229 0.23019479 0.21376407
 0.20259674 0.19402109 0.18823004 0.18536398 0.18119863 0.1810504
 0.17986827 0.17778799 0.17638496 0.17615308 0.17595027 0.17551565
 0.17528248 0.17870834 0.17377622 0.17217091 0.17197618 0.17521542
 0.1734305  0.17326924 0.17389834 0.1720154  0.17169234 0.17545733
 0.17127626 0.1717464  0.17036219 0.16958959 0.1698783  0.17474277
 0.16936006 0.16936775 0.17065373 0.17137241 0.17134497 0.17324452
 0.17202133 0.17257811 0.16946897 0.1685044  0.16995811 0.16717082
 0.17356874 0.17015365 0.16899437 0.17129751 0.16978368 0.16835615
 0.16851807 0.16993141 0.16800314 0.17081468 0.16909894 0.16982996
 0.16882089 0.16711545 0.1670426  0.16908121 0.16598099 0.16728997
 0.16667275 0.16817328 0.16638476 0.16644503 0.16749178 0.16668847
 0.1691525  0.16647103 0.16676281 0.16573799 0.16723032 0.16850723
 0.16544834 0.16774534 0.16643389 0.16565651 0.16525418 0.16801436
 0.1678188  0.16440541 0.16825768 0.16730845 0.16494641 0.16438936
 0.16568559 0.16634625 0.16428465 0.16684487 0.16501729 0.16492154
 0.16494338 0.16504209 0.16727453 0.16392264]","[0.43755576 0.30318686 0.23373005 0.19957907 0.17503272 0.15772758
 0.14673641 0.13846773 0.13105148 0.12669788 0.12677234 0.12191287
 0.11965266 0.11971784 0.11882554 0.11811847 0.11631104 0.11901002
 0.11526553 0.11397561 0.11599068 0.11557649 0.11410145 0.11319805
 0.11390352 0.11344409 0.11456663 0.11192004 0.11287353 0.11213507
 0.11180822 0.11262953 0.11305064 0.11136159 0.11144407 0.10983843
 0.11236432 0.11167078 0.11056151 0.1101578  0.11008421 0.11036864
 0.10958609 0.11061107 0.11036761 0.10976826 0.10849729 0.10892773
 0.10974745 0.10844473 0.108639   0.10838546 0.10929754 0.10933791
 0.10809698 0.10737093 0.10922313 0.1081396  0.10733162 0.10681514
 0.10735738 0.10799593 0.10756855 0.10669223 0.1069975  0.107627
 0.10758507 0.10648565 0.10690131 0.10690391 0.10637336 0.10687813
 0.10724314 0.10652536 0.1065557  0.1070758  0.10654127 0.10581794
 0.10641463 0.10612363 0.10626921 0.10663705 0.10703959 0.10573278
 0.10570657 0.10561103 0.10629179 0.10606419 0.10621736 0.10640451
 0.10611403 0.10590002 0.10596456 0.10577682 0.10586938 0.105987
 0.10591849 0.10623242 0.10584368 0.1060008 ]","[0.92800003 0.92400002 0.92600006 0.93200004 0.94000006 0.94400007
 0.94600004 0.94600004 0.94600004 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94600004 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007
 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007 0.94400007
 0.94600004 0.94400007 0.94400007 0.94400007 0.94600004 0.94600004
 0.94400007 0.94400007 0.94600004 0.94400007 0.94400007 0.94400007
 0.94400007 0.94600004 0.94400007 0.94400007 0.94400007 0.94600004
 0.94600004 0.94400007 0.94400007 0.94400007 0.94400007 0.94600004
 0.94600004 0.94400007 0.94400007 0.94600004 0.94600004 0.94400007
 0.94400007 0.94400007 0.94400007 0.94600004 0.94600004 0.94400007
 0.94400007 0.94400007 0.94600004 0.94400007 0.94600004 0.94600004
 0.94600004 0.94400007 0.94400007 0.94400007 0.94400007 0.94600004
 0.94400007 0.94400007 0.94400007 0.94400007]","[0.95999998 0.95999998 0.96999997 0.96999997 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995 0.98999995
 0.98999995 0.98999995 0.98999995 0.98999995]"
"[0.48496214 0.30532053 0.25440624 0.23085389 0.21947509 0.2146178
 0.2074493  0.20750467 0.20462972 0.20914234 0.2035373  0.20143114
 0.20422198 0.19941971 0.19720376 0.20032631 0.20004451 0.19944547
 0.1981943  0.20016204 0.1977879  0.19756106 0.19951183 0.20092167
 0.19710407 0.19949013 0.19520734 0.1972385  0.19576034 0.20026487
 0.19798584 0.19640152 0.19555303 0.1976317  0.19843739 0.19369625
 0.19682413 0.1956266  0.19708262 0.19389695 0.19601977 0.1969835
 0.19379385 0.19542192 0.19501248 0.19541238 0.19427365 0.19606525
 0.19439058 0.19486237 0.19354998 0.19345649 0.19682445 0.19243731
 0.19441263 0.19191772 0.19513938 0.19696857 0.19228855 0.19608094
 0.19682954 0.19261748 0.19434465 0.19280456 0.1926527  0.19797644
 0.19602947 0.19617349 0.19419205 0.19617757 0.19383904 0.19231945
 0.19686234 0.19172066 0.19222586 0.19253325 0.1940082  0.19586651
 0.19637194 0.19436486 0.19315431 0.1934253  0.19192077 0.19222496
 0.19234271 0.19630392 0.19185893 0.19149463 0.19796857 0.19355656
 0.19140209 0.19386657 0.19372727 0.19547459 0.19313388 0.1935278
 0.19159311 0.1978647  0.19212687 0.19246837]","[0.32471657 0.22999661 0.19189632 0.17151876 0.15753488 0.15199725
 0.14688544 0.14460354 0.14059579 0.13947859 0.13915737 0.13696359
 0.13549425 0.1407173  0.1342179  0.13841869 0.13525173 0.13339205
 0.13361849 0.1342636  0.13263403 0.13255672 0.13540557 0.13096355
 0.13211203 0.13277629 0.13232644 0.13100117 0.1305723  0.12988968
 0.13180003 0.13048396 0.13082558 0.12931652 0.13052827 0.13087559
 0.12945805 0.13074712 0.1277269  0.1315345  0.13087527 0.12776798
 0.13094664 0.12826326 0.13095163 0.12923582 0.12898506 0.1281918
 0.12956932 0.1293963  0.13009883 0.12844001 0.12780625 0.12964769
 0.12872763 0.12898077 0.12860431 0.12839848 0.1293226  0.12929687
 0.12791055 0.12976652 0.12930666 0.12903784 0.12828745 0.12820695
 0.12916379 0.12890133 0.12887567 0.1282651  0.12873244 0.12893513
 0.12848353 0.12918864 0.12891187 0.12863813 0.12827858 0.12850039
 0.12913901 0.12874569 0.12864946 0.12815531 0.12842412 0.12856621
 0.12840298 0.12804803 0.12877958 0.12858044 0.12846652 0.1293992
 0.12842621 0.12807475 0.1286045  0.12757562 0.12871316 0.12857553
 0.12807606 0.12799899 0.12878986 0.12794654]","[0.90500003 0.91200006 0.93600005 0.93400002 0.93500006 0.93600005
 0.93700004 0.93800002 0.93700004 0.93900007 0.93900007 0.93700004
 0.93800002 0.93900007 0.93800002 0.93800002 0.93900007 0.93800002
 0.93900007 0.94000006 0.93800002 0.93800002 0.93800002 0.93800002
 0.93900007 0.93700004 0.94000006 0.93900007 0.93900007 0.93800002
 0.94000006 0.93800002 0.94000006 0.93900007 0.93800002 0.93900007
 0.93900007 0.93900007 0.93800002 0.93900007 0.93900007 0.93800002
 0.94000006 0.93900007 0.93800002 0.93900007 0.93900007 0.93900007
 0.94000006 0.93800002 0.93900007 0.93900007 0.93900007 0.93900007
 0.93900007 0.93900007 0.93900007 0.93900007 0.93900007 0.93900007
 0.93900007 0.93900007 0.94000006 0.94000006 0.93900007 0.93900007
 0.94000006 0.93900007 0.93900007 0.93900007 0.93900007 0.93900007
 0.93900007 0.94000006 0.93900007 0.93900007 0.93900007 0.93900007
 0.93900007 0.94000006 0.93900007 0.93900007 0.93900007 0.93900007
 0.93900007 0.93900007 0.94000006 0.93900007 0.93900007 0.93900007
 0.93900007 0.93900007 0.94000006 0.93900007 0.94000006 0.94000006
 0.93900007 0.93900007 0.93900007 0.93900007]","[0.935      0.94       0.97499996 0.97499996 0.97499996 0.97999996
 0.97499996 0.97999996 0.97999996 0.97499996 0.97999996 0.97999996
 0.97499996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996 0.97999996
 0.97999996 0.97999996 0.97999996 0.97999996]"
"[0.47819552 0.28717178 0.23738036 0.21581694 0.20362061 0.1995371
 0.1953689  0.19520253 0.19315471 0.19224373 0.19234617 0.19105884
 0.18985142 0.18936931 0.18790063 0.18958229 0.18998323 0.18833476
 0.18644595 0.18381996 0.18556249 0.18671626 0.18496108 0.18435563
 0.1845296  0.18473703 0.18700871 0.1824958  0.18326025 0.18489197
 0.18805744 0.18389642 0.185892   0.18373357 0.18271156 0.18329825
 0.18562336 0.18146291 0.1809378  0.18116334 0.1809525  0.18295431
 0.18136038 0.17949103 0.18154377 0.18332984 0.18499942 0.1813466
 0.18253483 0.18113142 0.18142542 0.18212356 0.18069333 0.18096501
 0.18006332 0.18285671 0.1794028  0.18314555 0.18331029 0.18096058
 0.17906608 0.18090424 0.18170366 0.18076508 0.17965965 0.1821412
 0.17885093 0.18237665 0.17884469 0.18300264 0.17988761 0.18209895
 0.18027109 0.1804941  0.18068525 0.18060882 0.18336637 0.18098523
 0.18090411 0.17940791 0.18200304 0.18034177 0.18227689 0.18031934
 0.18130735 0.18126929 0.18255517 0.17927672 0.18163563 0.17961964
 0.18098226 0.18057804 0.18264954 0.17829248 0.18144301 0.17877236
 0.18079282 0.17930727 0.17871709 0.18062946]","[0.31206837 0.22231729 0.18263438 0.16351353 0.15320486 0.14858425
 0.1469644  0.14305462 0.14224774 0.1406122  0.14035413 0.13873748
 0.13850215 0.13795894 0.13687412 0.13626465 0.13593887 0.13474248
 0.13435724 0.13409477 0.13384008 0.13287453 0.1339321  0.13276935
 0.13161176 0.13144591 0.13096999 0.13134399 0.13080467 0.13206768
 0.13027208 0.13104822 0.13001256 0.13030787 0.12956943 0.12980787
 0.12959079 0.12982206 0.12928893 0.12946908 0.12868549 0.12933601
 0.12913866 0.12884514 0.12870775 0.12897736 0.12798981 0.12876861
 0.12867166 0.12830321 0.12860273 0.12824062 0.12812488 0.12817873
 0.12795366 0.12776974 0.12785321 0.12775934 0.12795149 0.12815687
 0.12769742 0.12744941 0.12731971 0.12779041 0.12765981 0.1273984
 0.12763856 0.1275916  0.12769198 0.12736773 0.12720555 0.12716079
 0.12732445 0.12768918 0.12697512 0.12714982 0.12703802 0.12690581
 0.12727122 0.12689829 0.12675749 0.1271362  0.1268585  0.12660898
 0.12675261 0.12690516 0.12677684 0.1268135  0.12657061 0.12665492
 0.12640479 0.12651061 0.1262878  0.12648228 0.12649713 0.12640895
 0.12619931 0.12668213 0.12637173 0.12595482]","[0.90850002 0.91750002 0.93850005 0.94450003 0.94350004 0.94400007
 0.94500005 0.94350004 0.94550002 0.94400007 0.94550002 0.94550002
 0.94550002 0.94600004 0.94550002 0.94550002 0.94600004 0.94550002
 0.94550002 0.94600004 0.94550002 0.94550002 0.94600004 0.94550002
 0.94500005 0.94550002 0.94550002 0.94550002 0.94550002 0.94600004
 0.94550002 0.94550002 0.94500005 0.94550002 0.94550002 0.94550002
 0.94550002 0.94550002 0.94550002 0.94550002 0.94550002 0.94600004
 0.94550002 0.94550002 0.94550002 0.94650006 0.94550002 0.94600004
 0.94600004 0.94550002 0.94650006 0.94650006 0.94600004 0.94600004
 0.94550002 0.94550002 0.94550002 0.94550002 0.94650006 0.94650006
 0.94600004 0.94550002 0.94550002 0.94650006 0.94650006 0.94600004
 0.94650006 0.94650006 0.94700003 0.94650006 0.94650006 0.94650006
 0.94650006 0.94700003 0.94600004 0.94650006 0.94650006 0.94650006
 0.94700003 0.94650006 0.94650006 0.94700003 0.94650006 0.94650006
 0.94650006 0.94700003 0.94700003 0.94700003 0.94700003 0.94700003
 0.94700003 0.94700003 0.94700003 0.94700003 0.94700003 0.94700003
 0.94700003 0.94750005 0.94700003 0.94700003]","[0.935      0.9425     0.96749997 0.96249998 0.96499997 0.96249998
 0.96499997 0.96249998 0.96249998 0.96499997 0.96499997 0.96249998
 0.96499997 0.96249998 0.95999998 0.95999998 0.96499997 0.96249998
 0.96249998 0.95999998 0.96249998 0.96249998 0.96499997 0.96249998
 0.96249998 0.96249998 0.95999998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96499997 0.96249998 0.96499997 0.95999998 0.96249998
 0.96499997 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96499997 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998 0.96249998
 0.96249998 0.96249998 0.96249998 0.96249998]"
"[0.35739663 0.22403686 0.20186803 0.20203038 0.20160797 0.19177559
 0.19062699 0.18874927 0.18988949 0.18774964 0.18841058 0.19289312
 0.18759441 0.1939913  0.18787989 0.19126993 0.19323227 0.18569094
 0.1850498  0.18553172 0.19409958 0.18380822 0.19357166 0.18877378
 0.18451954 0.1852006  0.184771   0.18332335 0.18340486 0.18616918
 0.1834165  0.18384001 0.1847636  0.18546788 0.18335226 0.18572772
 0.19047394 0.18730482 0.18603447 0.18462773 0.18369241 0.20229678
 0.18863194 0.18429501 0.18173695 0.18251856 0.1829433  0.18214199
 0.18182622 0.18210849 0.18547165 0.18173388 0.18127413 0.19844697
 0.18415925 0.18462281 0.19421247 0.18125752 0.18057631 0.18567139
 0.18096688 0.18077891 0.18080597 0.183777   0.18986869 0.18704799
 0.18048334 0.18950495 0.1843594  0.18036857 0.17962372 0.18098028
 0.18009153 0.18017098 0.18067741 0.18153612 0.17965627 0.1794565
 0.17950515 0.17969774 0.1869764  0.1824517  0.18606748 0.18046114
 0.17910118 0.17906743 0.17912707 0.18156356 0.1879282  0.18847199
 0.18166374 0.17914522 0.17910825 0.18458964 0.17936131 0.18193492
 0.17845553 0.17905216 0.1880548  0.17837477]","[0.23209617 0.19431596 0.18747641 0.18400632 0.18312553 0.18288781
 0.18200122 0.18124977 0.18108436 0.18104368 0.18084718 0.18025421
 0.17959769 0.17915238 0.17943238 0.17859019 0.17849536 0.17840603
 0.1783029  0.17809235 0.17785193 0.17788383 0.1778072  0.17774788
 0.17801446 0.17774963 0.17782384 0.17746019 0.17751816 0.17741413
 0.17722356 0.17724277 0.17723693 0.17717019 0.17703909 0.17699087
 0.17705809 0.17690046 0.17681095 0.17659426 0.1768043  0.17682804
 0.17688628 0.17669889 0.1765943  0.17658222 0.17637436 0.17636085
 0.17631827 0.17616417 0.17618199 0.17645973 0.17615552 0.17612632
 0.17635545 0.17613298 0.17618738 0.17641312 0.17608652 0.17599146
 0.17601117 0.17582178 0.17576276 0.1757395  0.17600468 0.17569707
 0.17554355 0.17547764 0.17568409 0.17538193 0.17527048 0.17538854
 0.1755341  0.1754448  0.17541032 0.17540413 0.17527682 0.17518239
 0.1752221  0.17517793 0.17524171 0.17546725 0.1753277  0.17553999
 0.17546614 0.17535923 0.1751803  0.17506449 0.17511041 0.17510097
 0.17500849 0.17507513 0.17506446 0.17514823 0.17522733 0.17529923
 0.17561941 0.17543329 0.17526466 0.17543888]","[0.93419999 0.93939996 0.94139999 0.94139999 0.94279999 0.94339997
 0.94299996 0.9418     0.94220001 0.94079995 0.94220001 0.9418
 0.94339997 0.94259995 0.94239998 0.94379997 0.9436     0.94379997
 0.94379997 0.94400001 0.94319999 0.94379997 0.94299996 0.9436
 0.94339997 0.94339997 0.9436     0.94339997 0.94279999 0.94319999
 0.94299996 0.94400001 0.94339997 0.94379997 0.94419998 0.94379997
 0.94419998 0.94419998 0.94419998 0.94419998 0.94419998 0.94419998
 0.94400001 0.94439995 0.94400001 0.94400001 0.94419998 0.94419998
 0.94400001 0.94400001 0.94400001 0.94439995 0.94439995 0.94419998
 0.94419998 0.94459999 0.94419998 0.94419998 0.94419998 0.94419998
 0.94419998 0.94439995 0.94439995 0.94419998 0.94419998 0.94459999
 0.94479996 0.94439995 0.94439995 0.94459999 0.94479996 0.94459999
 0.94479996 0.94479996 0.94459999 0.94479996 0.94499999 0.94479996
 0.94499999 0.94499999 0.9454     0.94519997 0.94559997 0.94579995
 0.94519997 0.94559997 0.94579995 0.94579995 0.94559997 0.94559997
 0.94639999 0.94579995 0.94579995 0.94559997 0.94699997 0.94559997
 0.9454     0.94579995 0.94639999 0.94659996]","[0.94900006 0.94900006 0.94900006 0.94700003 0.94700003 0.94600004
 0.94600004 0.94700003 0.94700003 0.94700003 0.94800007 0.94600004
 0.94800007 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94700003 0.94600004 0.94700003 0.94600004
 0.94600004 0.94700003 0.94600004 0.94600004 0.94700003 0.94700003
 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004 0.94600004
 0.94600004 0.94600004 0.94600004 0.94600004 0.94700003 0.94700003
 0.94700003 0.94700003 0.94700003 0.94700003 0.94700003 0.94700003
 0.94900006 0.94800007 0.94900006 0.94900006 0.94800007 0.94800007
 0.94900006 0.94900006 0.94900006 0.94900006 0.94900006 0.94800007
 0.94800007 0.94800007 0.94900006 0.94900006 0.94900006 0.94900006
 0.94900006 0.94800007 0.94800007 0.94800007 0.94800007 0.94800007
 0.94800007 0.94800007 0.94700003 0.94700003]"
"[0.36115205 0.22101724 0.20403945 0.20212439 0.19683805 0.19526294
 0.19170782 0.20327012 0.19290622 0.19171318 0.19177957 0.18755117
 0.18985075 0.19247189 0.19318318 0.18767238 0.18738301 0.18574074
 0.18679979 0.18508434 0.18820351 0.18955989 0.18855277 0.18376862
 0.18332289 0.18370782 0.18370137 0.183163   0.1876583  0.1849522
 0.18498275 0.18735918 0.18229719 0.1873875  0.1862205  0.18127987
 0.18709221 0.18645358 0.18433094 0.18107226 0.18482831 0.18581679
 0.18169975 0.1837271  0.18284914 0.18338868 0.18302165 0.18081723
 0.18167177 0.18226816 0.18120062 0.18272936 0.18393639 0.18598589
 0.18136047 0.18524376 0.18139653 0.18323591 0.1890358  0.18569231
 0.1801801  0.18083547 0.18093337 0.1830177  0.18470728 0.18083273
 0.18040343 0.18156047 0.18168502 0.18476947 0.18191019 0.18095873
 0.18068956 0.17999581 0.1823982  0.18371353 0.18026999 0.1800504
 0.18063101 0.18831219 0.18051046 0.18617959 0.17984676 0.17998183
 0.18466681 0.18947564 0.18909733 0.18083119 0.18236622 0.18866317
 0.18047628 0.17954738 0.17964205 0.18425454 0.18010174 0.18157147
 0.18117192 0.1839734  0.18123846 0.18059345]","[0.22511625 0.19102588 0.18470487 0.18194276 0.1803571  0.18269375
 0.17909715 0.18102385 0.17827891 0.17789951 0.17756115 0.17797081
 0.17696938 0.1773752  0.17678058 0.17592259 0.17573404 0.17582306
 0.1754342  0.17477971 0.17475814 0.17447035 0.17452154 0.17443945
 0.17417246 0.17417951 0.17395476 0.17388932 0.17375676 0.17368603
 0.17351258 0.17335968 0.17341976 0.17334527 0.17316288 0.17322268
 0.17320725 0.17310469 0.17308374 0.17292531 0.17295229 0.17294239
 0.17277718 0.17281201 0.1727775  0.17271547 0.172672   0.17262162
 0.17262687 0.172658   0.17258567 0.17262742 0.17281945 0.17266358
 0.17251633 0.17258449 0.17250955 0.17245594 0.17237926 0.17248222
 0.17249762 0.17245299 0.17233217 0.17231219 0.17266688 0.17248328
 0.17240289 0.1723256  0.17235065 0.17241496 0.17237373 0.17218846
 0.17223705 0.17225355 0.17219728 0.17218614 0.17209044 0.17216088
 0.172102   0.17218472 0.17221287 0.17213215 0.17221019 0.17207406
 0.1720136  0.17213258 0.17221801 0.17216849 0.17206214 0.17216365
 0.17219448 0.17207135 0.1719449  0.17207085 0.17205819 0.17199418
 0.17193997 0.17206077 0.17206998 0.17199881]","[0.93339998 0.93829995 0.93759996 0.94149995 0.94220001 0.94529998
 0.94019997 0.94559997 0.94189996 0.94220001 0.94259995 0.9443
 0.94319999 0.9436     0.94409996 0.94239998 0.94199997 0.94409996
 0.9461     0.94319999 0.94479996 0.9436     0.94449997 0.94479996
 0.94379997 0.94629997 0.94459999 0.94579995 0.9454     0.94549996
 0.9461     0.94509995 0.9454     0.9454     0.94459999 0.94489998
 0.94519997 0.94509995 0.9454     0.94519997 0.94529998 0.94519997
 0.94519997 0.9454     0.94499999 0.94499999 0.94509995 0.94499999
 0.94519997 0.94529998 0.94519997 0.94519997 0.94549996 0.94559997
 0.94519997 0.94549996 0.94519997 0.94549996 0.94529998 0.94509995
 0.94559997 0.94559997 0.9454     0.94549996 0.94559997 0.9454
 0.94559997 0.94559997 0.9454     0.94579995 0.94529998 0.94549996
 0.94529998 0.94559997 0.9454     0.94519997 0.94519997 0.9454
 0.94509995 0.94559997 0.94579995 0.94559997 0.94579995 0.94549996
 0.94529998 0.94569999 0.94549996 0.9454     0.94559997 0.9454
 0.94579995 0.94569999 0.9454     0.94569999 0.94549996 0.94559997
 0.94519997 0.94579995 0.94559997 0.94529998]","[0.94800007 0.94800007 0.94800007 0.94850004 0.94900006 0.94900006
 0.95000005 0.95050007 0.94850004 0.94850004 0.94900006 0.95100003
 0.95000005 0.94950002 0.95000005 0.94800007 0.94800007 0.95050007
 0.95100003 0.94900006 0.95000005 0.95050007 0.95050007 0.95050007
 0.95050007 0.95100003 0.95050007 0.95100003 0.95100003 0.95050007
 0.95100003 0.95100003 0.95050007 0.95050007 0.95100003 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95000005 0.95050007
 0.95050007 0.95050007 0.95100003 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95100003 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95000005
 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007 0.95050007
 0.95050007 0.95050007 0.95050007 0.95050007]"
