train_losses,test_losses,train_accs,test_accs
"[0.67267714 0.56748836 0.5040205  0.45389643 0.41290072 0.37793352
 0.35311737 0.33450981 0.31893004 0.30843932 0.30101673 0.30051173
 0.29387872 0.2905212  0.2878039  0.28501313 0.28243333 0.28233368
 0.28001159 0.27705378 0.27675456 0.2739177  0.26580151 0.26448196
 0.26853823 0.26588933 0.26458317 0.26530635 0.26261998 0.26555547
 0.26184107 0.3552159  0.27472347 0.26482636 0.26397246 0.26308993
 0.261834   0.26087109 0.26254965 0.26055935 0.26032152 0.26073622
 0.25775946 0.25597869 0.26060646 0.26097439 0.25938826 0.25907856
 0.25870093 0.25643366 0.25824249 0.26178219 0.25784439 0.25756292
 0.25719654 0.2591565  0.25674938 0.25778521 0.25694373 0.25615478
 0.25950147 0.25644903 0.2548587  0.25620006 0.25326185 0.25962244
 0.25367901 0.25870894 0.25783233 0.25584495 0.25595707 0.25569381
 0.25385324 0.25555138 0.25575029 0.25555353 0.25549209 0.25308822
 0.25579537 0.25553918 0.25240209 0.25202594 0.25571616 0.25178428
 0.26019639 0.25886032 0.25549453 0.25545637 0.25739349 0.25537965
 0.25699054 0.25533456 0.25539598 0.25532414 0.25366261 0.25523746
 0.25286891 0.25809171 0.25279447 0.25521413]","[0.60986483 0.54758579 0.50235992 0.46554801 0.43427504 0.40870882
 0.39035215 0.37991791 0.3728023  0.36496354 0.36059077 0.36087224
 0.35607001 0.35353853 0.35229847 0.35069638 0.34881252 0.3472113
 0.34769206 0.34575598 0.34333689 0.34245244 0.34458191 0.34520352
 0.34133539 0.33890418 0.3386183  0.33935024 0.34086486 0.34103093
 0.33927835 0.34301695 0.34869955 0.34197173 0.3406249  0.33746095
 0.33743267 0.33760239 0.33790841 0.3380029  0.33769479 0.33757295
 0.33748266 0.33843469 0.33871488 0.33712482 0.33641518 0.33611065
 0.33633875 0.33640425 0.3374178  0.33656532 0.33583568 0.33560784
 0.33565312 0.33594527 0.3359477  0.33576191 0.33597902 0.33594959
 0.33666815 0.3358748  0.33570147 0.33624635 0.33616576 0.33601414
 0.33525556 0.33523414 0.33494406 0.33489666 0.33500463 0.33518657
 0.33561195 0.33617681 0.33611719 0.33558426 0.33522124 0.33516077
 0.33582459 0.33556991 0.3353945  0.33574785 0.33608872 0.33577299
 0.33587079 0.33492582 0.33450078 0.33450871 0.33461282 0.33460723
 0.33477342 0.33483946 0.33497844 0.33503513 0.33513921 0.33546737
 0.33561249 0.33570898 0.33546714 0.33551986]","[0.89200002 0.89200002 0.89155557 0.89155557 0.89155557 0.89155557
 0.89155557 0.87955558 0.89111112 0.89155557 0.89155557 0.89111112
 0.89111112 0.89155557 0.89111112 0.89111112 0.89111112 0.89111112
 0.87911113 0.89111112 0.89111112 0.89155557 0.89111112 0.89155557
 0.89111112 0.89111112 0.89111112 0.89111112 0.87911113 0.87911113
 0.89111112 0.89155557 0.89244446 0.87866668 0.87911113 0.89155557
 0.87911113 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112 0.89111112
 0.89111112 0.89111112 0.89111112 0.89111112]","[0.85799999 0.85999999 0.85999999 0.85799999 0.85799999 0.85399998
 0.85599998 0.83199998 0.85599998 0.85399998 0.85399998 0.85599998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.83199998 0.85399998 0.85399998 0.85599998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.83199998 0.83199998
 0.85399998 0.85399998 0.85399998 0.83199998 0.83199998 0.85599998
 0.82999998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85599998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85599998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85599998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998 0.85399998
 0.85399998 0.85399998 0.85399998 0.85399998]"
"[0.64925258 0.49973534 0.38584532 0.31712143 0.27634438 0.25126295
 0.23091597 0.21424195 0.19852402 0.18437721 0.18498065 0.16704315
 0.16417139 0.16285946 0.16188727 0.16136164 0.16693513 0.16006556
 0.15947682 0.15942087 0.15883989 0.15783612 0.15750313 0.15736614
 0.1568952  0.15680959 0.15680594 0.15682871 0.16313642 0.15648189
 0.15623225 0.15629663 0.1560192  0.15624301 0.15623846 0.15598144
 0.16234615 0.15640881 0.15594182 0.16230607 0.15622411 0.1559024
 0.16625874 0.15609779 0.15613052 0.15637642 0.17189552 0.15620629
 0.1557783  0.15628917 0.1560194  0.15585403 0.15584708 0.17919767
 0.15604668 0.15574192 0.16240873 0.15615346 0.15602572 0.1557941
 0.15580991 0.15579267 0.15572852 0.15589135 0.15579645 0.15584746
 0.17918578 0.15577631 0.15595785 0.15592242 0.15579514 0.15572916
 0.15569753 0.15570312 0.15573913 0.15582181 0.1599131  0.15570634
 0.15580582 0.16326067 0.15576161 0.15573772 0.15632369 0.1558334
 0.15570917 0.15579343 0.1558126  0.15580022 0.15578663 0.15573811
 0.15571793 0.15565979 0.15573857 0.15594046 0.15564441 0.15575084
 0.16308517 0.15560868 0.15608969 0.15580811]","[0.58314493 0.47710414 0.4016936  0.36425736 0.34102806 0.32566358
 0.3125946  0.30165881 0.2918422  0.28461691 0.2788955  0.27691748
 0.27582994 0.27530637 0.27602019 0.27474841 0.27565596 0.27471293
 0.2756609  0.27435522 0.27441632 0.27510278 0.27454231 0.27503513
 0.27494034 0.27504939 0.27393007 0.27587373 0.27526525 0.27485352
 0.27482765 0.27467712 0.27517261 0.27526763 0.27473496 0.27497908
 0.27492467 0.27486523 0.27464663 0.27451397 0.27372324 0.27528831
 0.27467347 0.27565926 0.27431698 0.27458195 0.27510524 0.27380995
 0.27511809 0.27522812 0.27501459 0.27450818 0.27474104 0.27501827
 0.27522496 0.27476813 0.27442215 0.27360319 0.27427588 0.27492008
 0.27467981 0.27477936 0.27490381 0.27511904 0.27483087 0.2747326
 0.2749191  0.27529657 0.27530166 0.27482276 0.27476965 0.27483058
 0.27504058 0.27486228 0.274734   0.27485874 0.27476959 0.27485389
 0.27479831 0.27490582 0.27445263 0.27456198 0.27480407 0.27493966
 0.27485013 0.27498896 0.27486713 0.27483495 0.2749784  0.27480778
 0.27466778 0.27466984 0.27442334 0.27461612 0.27483776 0.27480944
 0.27477948 0.27411674 0.2742295  0.27486981]","[0.78977779 0.98244447 0.98266668 0.98311113 0.98266668 0.98288891
 0.98311113 0.98311113 0.98311113 0.98311113 0.98311113 0.98311113
 0.98311113 0.98311113 0.98311113 0.98311113 0.98311113 0.98311113
 0.98311113 0.98311113 0.98311113 0.98288891 0.98311113 0.98266668
 0.98266668 0.98244447 0.98311113 0.98244447 0.98244447 0.98288891
 0.98266668 0.98266668 0.98244447 0.98244447 0.98288891 0.98244447
 0.98244447 0.98288891 0.98288891 0.98288891 0.98311113 0.98244447
 0.98266668 0.98244447 0.98311113 0.98288891 0.98244447 0.98311113
 0.98244447 0.98244447 0.98244447 0.98288891 0.98266668 0.98244447
 0.98244447 0.98288891 0.98288891 0.98311113 0.98311113 0.98244447
 0.98288891 0.98266668 0.98266668 0.98244447 0.98266668 0.98266668
 0.98266668 0.98244447 0.98244447 0.98266668 0.98288891 0.98266668
 0.98244447 0.98266668 0.98288891 0.98266668 0.98266668 0.98266668
 0.98266668 0.98244447 0.98288891 0.98288891 0.98288891 0.98266668
 0.98266668 0.98244447 0.98266668 0.98266668 0.98244447 0.98266668
 0.98288891 0.98288891 0.98288891 0.98288891 0.98266668 0.98266668
 0.98266668 0.98311113 0.98311113 0.98266668]","[0.74699997 0.91499997 0.91399997 0.91499997 0.91399997 0.91399997
 0.91399997 0.91499997 0.91399997 0.91399997 0.91499997 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91399997 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91399997 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91399997 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91399997 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91399997 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998 0.91299998
 0.91299998 0.91299998 0.91299998 0.91299998]"
"[0.59694659 0.4123952  0.29377784 0.22737199 0.19469713 0.1791683
 0.17292277 0.16380496 0.15926931 0.15557269 0.15197851 0.14768319
 0.14223312 0.13572426 0.13127174 0.12822278 0.12643965 0.12501431
 0.12402902 0.12311678 0.12243602 0.12183065 0.12139018 0.12090941
 0.12045377 0.1235074  0.12106628 0.12078671 0.13377774 0.12030342
 0.11990413 0.11985042 0.13177165 0.12266175 0.11973712 0.1196037
 0.11951109 0.11937276 0.12382706 0.11934518 0.11929064 0.13650974
 0.11956196 0.11915066 0.11926869 0.12207087 0.11908378 0.11894268
 0.11903076 0.11884998 0.13477825 0.11924169 0.11915598 0.11899457
 0.11876232 0.11887108 0.12348666 0.11878673 0.11879959 0.11876313
 0.11879786 0.11887746 0.118823   0.11868567 0.12771456 0.11871627
 0.11887075 0.12429526 0.11877343 0.11867872 0.11874039 0.11855406
 0.14073552 0.11919067 0.11862604 0.1187973  0.1187303  0.1186612
 0.11852663 0.11905364 0.11874401 0.11862864 0.11865424 0.11859512
 0.11865982 0.11868072 0.11858827 0.11870194 0.11863053 0.11869816
 0.12186895 0.11859879 0.12659501 0.11865098 0.11860741 0.11860824
 0.12333884 0.11854824 0.11853168 0.11857772]","[0.51781077 0.38924859 0.31736335 0.28266064 0.26712252 0.25934317
 0.25445955 0.25115781 0.248732   0.2461889  0.24360721 0.24049726
 0.23614429 0.2329423  0.2308563  0.2297061  0.22884352 0.2281282
 0.22732894 0.22720299 0.22660679 0.22647943 0.22600075 0.22583906
 0.22572777 0.22600342 0.22557684 0.2256498  0.22522903 0.22516284
 0.22539499 0.22520501 0.2253014  0.22527027 0.22493252 0.22514631
 0.22502202 0.22505093 0.22489911 0.22503978 0.22490043 0.22483015
 0.22508192 0.22479289 0.22469634 0.22496076 0.22464942 0.22466754
 0.22460043 0.22467419 0.22461037 0.22451361 0.22468977 0.22486641
 0.22459528 0.22451655 0.22450334 0.22445308 0.22453816 0.2245165
 0.22454801 0.22455133 0.22467449 0.22459573 0.22448832 0.2245421
 0.2245119  0.22461535 0.22464018 0.22459746 0.22449938 0.22446926
 0.22443599 0.22445605 0.22446747 0.22443385 0.22450421 0.2245398
 0.22445374 0.22439022 0.22445979 0.22452413 0.22446777 0.22443424
 0.22441303 0.2244747  0.22450288 0.22440588 0.22440928 0.22448258
 0.22449544 0.22440521 0.22441482 0.2246086  0.22448425 0.22442439
 0.22441229 0.22444609 0.22443522 0.22439484]","[0.8887778  0.99111115 0.99066669 0.9907778  0.9906667  0.9907778
 0.99088892 0.99066669 0.9907778  0.99055557 0.99066669 0.99066669
 0.99066669 0.99066669 0.99066669 0.9906667  0.99066669 0.99055558
 0.9907778  0.99044448 0.99066669 0.99055558 0.9906667  0.99055558
 0.9906667  0.9906667  0.99044448 0.99055558 0.9905556  0.99044448
 0.99044448 0.99044448 0.99044448 0.9905556  0.99044448 0.99044448
 0.9905556  0.99055558 0.9905556  0.99044448 0.9905556  0.99044448
 0.99055558 0.99044448 0.9905556  0.99044448 0.9905556  0.99044448
 0.9906667  0.99044448 0.99044448 0.9906667  0.99044448 0.99044448
 0.9905556  0.9905556  0.9905556  0.9905556  0.99044448 0.9905556
 0.99044448 0.99044448 0.99044448 0.99044448 0.9905556  0.99044448
 0.99044448 0.99044448 0.99044448 0.99044448 0.99044448 0.9905556
 0.9905556  0.9906667  0.99044448 0.99044448 0.99044448 0.99044448
 0.99044448 0.9905556  0.9905556  0.99044448 0.99044448 0.99044448
 0.9905556  0.99044448 0.99044448 0.99044448 0.99044448 0.99044448
 0.99044448 0.99044448 0.99044448 0.99044448 0.99044448 0.99044448
 0.99044448 0.99044448 0.99044448 0.99044448]","[0.83599998 0.93549999 0.93649999 0.93549999 0.93699999 0.93649999
 0.93749999 0.93749999 0.93699999 0.93749999 0.93799999 0.93699999
 0.93699999 0.93649999 0.93649999 0.93599999 0.93699999 0.93649999
 0.93649999 0.93649999 0.93649999 0.93599999 0.93649999 0.93649999
 0.93699999 0.93599999 0.93699999 0.93699999 0.93749999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93649999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93649999 0.93699999
 0.93699999 0.93699999 0.93649999 0.93649999 0.93699999 0.93699999
 0.93749999 0.93649999 0.93699999 0.93799999 0.93649999 0.93649999
 0.93749999 0.93699999 0.93699999 0.93749999 0.93699999 0.93699999
 0.93699999 0.93699999 0.93649999 0.93699999 0.93699999 0.93599999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999
 0.93699999 0.93749999 0.93699999 0.93699999 0.93699999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999 0.93699999
 0.93699999 0.93699999 0.93699999 0.93699999]"
"[0.43943365 0.2053586  0.15773285 0.1430894  0.13928449 0.13804122
 0.13559489 0.13480738 0.13583905 0.13498157 0.1370383  0.1344878
 0.13467355 0.13489295 0.1342606  0.13436216 0.13425979 0.13461253
 0.13433193 0.13416965 0.13624016 0.13613894 0.13435556 0.1340795
 0.13552477 0.13420264 0.13735014 0.1340585  0.13427365 0.13399505
 0.13395721 0.1341647  0.13395757 0.13403223 0.13579903 0.13437453
 0.13421518 0.13495595 0.13395595 0.13408248 0.13435054 0.13404949
 0.13438572 0.13392236 0.1338771  0.13443673 0.13424433 0.13399967
 0.13429542 0.13417217 0.1342438  0.1339477  0.13396446 0.13397063
 0.13395214 0.1345731  0.13392386 0.13388319 0.13395089 0.13436808
 0.13411283 0.13519832 0.13415899 0.13399627 0.13396462 0.13491694
 0.13591476 0.13408293 0.13433508 0.13497309 0.13433255 0.13447871
 0.13426746 0.13699825 0.13574278 0.13461964 0.13725998 0.1343527
 0.13456335 0.13409342 0.13501879 0.13396852 0.13387869 0.13389158
 0.13395191 0.13411853 0.13387093 0.13399269 0.13667595 0.1342858
 0.133972   0.13389804 0.13436504 0.13465801 0.13436518 0.13380201
 0.13399739 0.13414299 0.13456056 0.13475005]","[0.32595471 0.24787007 0.23414752 0.2271896  0.22604011 0.22538823
 0.22515768 0.22506108 0.22507613 0.22489041 0.22492604 0.22518956
 0.22506177 0.22462941 0.22459821 0.22457736 0.2246592  0.2247142
 0.22451313 0.22471918 0.22463546 0.22452232 0.22450436 0.22450823
 0.22448207 0.22453072 0.22448657 0.22449107 0.22448592 0.22450174
 0.22448769 0.22449792 0.22451933 0.22445805 0.22447389 0.22444711
 0.22448165 0.22450964 0.22444449 0.22446195 0.22449458 0.22442812
 0.2244753  0.22447873 0.22447182 0.22445689 0.22443266 0.22443398
 0.22446536 0.22445248 0.22447054 0.22443165 0.22444971 0.22446452
 0.22444538 0.22446126 0.22444575 0.224419   0.22443429 0.22446802
 0.22447769 0.22441741 0.22441272 0.22445174 0.22445117 0.22443362
 0.22444043 0.22443213 0.22446103 0.22444457 0.22445163 0.22446571
 0.22443354 0.2244139  0.2244323  0.22443151 0.22440249 0.22442752
 0.22445926 0.22447007 0.22441529 0.22441776 0.22441313 0.22441278
 0.22446954 0.22442664 0.22440121 0.2244363  0.22440396 0.22441056
 0.22441312 0.22442849 0.2244246  0.22443063 0.22446385 0.22441055
 0.22441362 0.22444697 0.22445869 0.22447001]","[0.98840002 0.98880002 0.98840001 0.98906667 0.98906667 0.98920002
 0.98906668 0.98906668 0.98880001 0.98902224 0.98884447 0.98871112
 0.98844446 0.98902224 0.98906668 0.98902224 0.98902224 0.98866668
 0.98897779 0.98853334 0.98880001 0.98897779 0.98893335 0.98884445
 0.98897779 0.98884447 0.98897779 0.98884447 0.9888889  0.98880001
 0.98880001 0.98880001 0.98884447 0.98897779 0.98888891 0.98897779
 0.98884445 0.98884447 0.98902224 0.98884445 0.98884447 0.98902224
 0.98880001 0.98884447 0.98880001 0.98888891 0.98897779 0.98897779
 0.98884447 0.98884445 0.98880001 0.98897779 0.98884447 0.98884447
 0.98893334 0.98880001 0.98884447 0.98897779 0.98884445 0.98880001
 0.98880001 0.98897779 0.98893334 0.98880001 0.98884447 0.98884445
 0.9888889  0.98897779 0.98880001 0.98884447 0.98884447 0.98884445
 0.98884447 0.98897779 0.98893334 0.98884445 0.98902224 0.98884445
 0.98880001 0.98880001 0.98893334 0.98888891 0.98897779 0.98893334
 0.98880001 0.98884447 0.98893334 0.98880001 0.98897779 0.98893335
 0.98888891 0.9888889  0.98884447 0.98884447 0.98880001 0.98897779
 0.98893335 0.98880001 0.98880001 0.98880001]","[0.93920004 0.93940005 0.93920006 0.93960005 0.93980005 0.93980005
 0.93940004 0.93940004 0.93900005 0.93960005 0.93920004 0.93920004
 0.93880005 0.93940004 0.93940004 0.93940004 0.93940004 0.93900005
 0.93940004 0.93900005 0.93940004 0.93940004 0.93940004 0.93920004
 0.93940004 0.93920004 0.93940004 0.93920004 0.93940004 0.93920004
 0.93920004 0.93920004 0.93920004 0.93940004 0.93920004 0.93960005
 0.93920004 0.93920004 0.93960005 0.93920004 0.93920004 0.93960005
 0.93920004 0.93920004 0.93920004 0.93920004 0.93960005 0.93940004
 0.93920004 0.93920004 0.93920004 0.93940004 0.93920004 0.93920004
 0.93940004 0.93920004 0.93920004 0.93960005 0.93920004 0.93920004
 0.93920004 0.93940004 0.93940004 0.93920004 0.93920004 0.93920004
 0.93940004 0.93960005 0.93920004 0.93920004 0.93920004 0.93940004
 0.93920004 0.93960005 0.93960005 0.93920004 0.93960005 0.93920004
 0.93920004 0.93920004 0.93960005 0.93920004 0.93960005 0.93960005
 0.93920004 0.93920004 0.93960005 0.93920004 0.93960005 0.93940004
 0.93920004 0.93940004 0.93920004 0.93920004 0.93920004 0.93940004
 0.93940004 0.93920004 0.93920004 0.93940004]"
"[0.50267954 0.24443754 0.15765878 0.13656425 0.13102652 0.12808988
 0.12652086 0.12471509 0.12373172 0.12324602 0.12149428 0.12045689
 0.12033042 0.11971899 0.12006856 0.11956361 0.12066345 0.11941295
 0.11936836 0.11936587 0.11941545 0.11939627 0.11933573 0.11949756
 0.11973341 0.11979509 0.11979424 0.11924141 0.11932052 0.12059692
 0.11922344 0.11936493 0.11936291 0.11927397 0.11935483 0.1197074
 0.11933074 0.11925154 0.11927731 0.11931548 0.11933321 0.11921597
 0.11921346 0.11946201 0.11925814 0.11923034 0.11925046 0.11988325
 0.11918447 0.11934284 0.11920897 0.11962337 0.11993812 0.11933761
 0.11923562 0.11932073 0.11922513 0.11937409 0.11928337 0.11921808
 0.11935716 0.11937365 0.11967027 0.1194742  0.12029683 0.11925031
 0.11927088 0.11926171 0.11918072 0.11933033 0.11932068 0.11988273
 0.11926212 0.11919988 0.1202335  0.11925316 0.11928247 0.11932012
 0.11930874 0.11922544 0.11991118 0.11931274 0.11928877 0.11934337
 0.11929582 0.11967956 0.11932455 0.11919308 0.11937516 0.11925603
 0.11915493 0.11929403 0.11935454 0.11974264 0.11922589 0.11958817
 0.11927478 0.11971159 0.11935151 0.11924484]","[0.37070009 0.23332804 0.20562092 0.19823569 0.19526361 0.19376107
 0.19206398 0.19119377 0.18995988 0.18949246 0.18894994 0.18844636
 0.18781235 0.18792487 0.18774441 0.18802069 0.18769704 0.18776154
 0.187944   0.18781705 0.18772715 0.18772262 0.18782105 0.18782313
 0.18766743 0.18776458 0.18778244 0.18768894 0.18775455 0.18771668
 0.18772319 0.18776561 0.18769371 0.18782365 0.18771071 0.18778528
 0.18766713 0.18785551 0.18776942 0.18770985 0.18775894 0.1876735
 0.18782091 0.18775555 0.18780392 0.18781179 0.18773986 0.18781506
 0.1877135  0.18785803 0.1877294  0.18769743 0.18769225 0.18770882
 0.18770322 0.18764156 0.18762528 0.18763418 0.18763738 0.1877101
 0.18765405 0.18775305 0.18766205 0.18767934 0.18774385 0.1877068
 0.18772384 0.18764652 0.18771295 0.18779629 0.18768809 0.18762568
 0.18770675 0.18771275 0.18767385 0.18773794 0.18776174 0.18766426
 0.18784719 0.18775758 0.18775592 0.18775895 0.1877547  0.18771827
 0.18780282 0.18771432 0.18770891 0.18773427 0.18765781 0.18769764
 0.18767282 0.18777304 0.18776176 0.1876577  0.18785429 0.18769542
 0.18774511 0.18767205 0.18769291 0.18768848]","[0.99464444 0.99371113 0.99411111 0.99417779 0.9942889  0.99435557
 0.99435557 0.99446667 0.99451113 0.99462224 0.99460001 0.99480001
 0.99480002 0.9948889  0.99484446 0.99493334 0.99484446 0.99484446
 0.99493334 0.99486668 0.99484446 0.99491112 0.99491112 0.99486668
 0.99486668 0.9948889  0.99486668 0.99486668 0.9948889  0.99486668
 0.99486668 0.99491112 0.9948889  0.99491112 0.99486668 0.99491112
 0.99482224 0.99493334 0.99486668 0.99486668 0.99486668 0.9948889
 0.9948889  0.99486668 0.99486668 0.99482224 0.9948889  0.99491112
 0.99480002 0.99493334 0.9948889  0.99482224 0.9948889  0.99486668
 0.99486668 0.99484446 0.99480002 0.99484446 0.99484446 0.99486668
 0.99480002 0.99491112 0.99484446 0.99482224 0.99491112 0.99486668
 0.99491112 0.99482224 0.99486668 0.9948889  0.99486668 0.99482224
 0.99491112 0.99486668 0.9948889  0.99486668 0.9948889  0.99486668
 0.99493334 0.9948889  0.99484446 0.99486668 0.9948889  0.99486668
 0.9948889  0.99486668 0.9948889  0.99491112 0.99482224 0.99491112
 0.9948889  0.9948889  0.99491112 0.99486668 0.99493334 0.99486668
 0.99486668 0.9948889  0.99482224 0.99491112]","[0.95860004 0.95600003 0.95640005 0.95630003 0.95640002 0.95660003
 0.95710003 0.95700003 0.95730003 0.95780003 0.95740004 0.95780003
 0.95790004 0.95740004 0.95790004 0.95750003 0.95810004 0.95790005
 0.95740002 0.95770004 0.95760003 0.95780003 0.95740004 0.95760003
 0.95790004 0.95760003 0.95760005 0.95780003 0.95770004 0.95780003
 0.95780003 0.95760003 0.95780003 0.95740004 0.95770004 0.95750004
 0.95790004 0.95740004 0.95760005 0.95790004 0.95760005 0.95780003
 0.95760003 0.95770004 0.95750004 0.95780004 0.95770004 0.95740004
 0.95780003 0.95740004 0.95760003 0.95790004 0.95760003 0.95770004
 0.95780003 0.95780003 0.95790004 0.95780003 0.95790004 0.95770004
 0.95790004 0.95750004 0.95780003 0.95770004 0.95760003 0.95780003
 0.95760003 0.95790004 0.95780003 0.95740004 0.95770003 0.95790004
 0.95770004 0.95780003 0.95770004 0.95770004 0.95760005 0.95790004
 0.95750003 0.95750004 0.95770004 0.95760005 0.95770004 0.95790004
 0.95770004 0.95780003 0.95770004 0.95760003 0.95790004 0.95750003
 0.95780003 0.95740004 0.95750004 0.95790004 0.95750003 0.95770004
 0.95760005 0.95780003 0.95790004 0.95760003]"
