name,Attack,Clean_Loss,Clean_Acc,Adversarial_Loss,Adversarial_Acc,Attack_Success_Rate,Robustness_Gap
cifar2_ntrain500__rep1,FGSM,0.29897797107696533,0.9300000071525574,0.580698549747467,0.9300000071525574,0.06999999284744263,0.0
cifar2_ntrain500__rep1,PGD,0.29897797107696533,0.9300000071525574,0.5456165671348572,0.9300000071525574,0.06999999284744263,0.0
cifar2_ntrain500__rep1,APGD,0.29897797107696533,0.9300000071525574,0.525063157081604,0.9300000071525574,0.06999999284744263,0.0
cifar2_ntrain500__rep1,MIM,0.29897797107696533,0.9300000071525574,0.5808373689651489,0.9300000071525574,0.06999999284744263,0.0
cifar2_ntrain500__rep1,SA,0.29897797107696533,0.9300000071525574,0.5657514929771423,0.9300000071525574,0.06999999284744263,0.0
cifar2_ntrain500__rep2,FGSM,0.2053104192018509,0.949999988079071,0.45847347378730774,0.9399999976158142,0.06000000238418579,0.009999990463256836
cifar2_ntrain500__rep2,PGD,0.2053104192018509,0.949999988079071,0.3789460361003876,0.9399999976158142,0.06000000238418579,0.009999990463256836
cifar2_ntrain500__rep2,APGD,0.2053104192018509,0.949999988079071,0.32983383536338806,0.949999988079071,0.050000011920928955,0.0
cifar2_ntrain500__rep2,MIM,0.2053104192018509,0.949999988079071,0.4584875702857971,0.9399999976158142,0.06000000238418579,0.009999990463256836
cifar2_ntrain500__rep2,SA,0.2053104192018509,0.949999988079071,0.37887707352638245,0.949999988079071,0.050000011920928955,0.0
cifar2_ntrain500__rep3,FGSM,0.6878288388252258,0.5600000023841858,0.7085900902748108,0.5600000023841858,0.4399999976158142,0.0
cifar2_ntrain500__rep3,PGD,0.6878288388252258,0.5600000023841858,0.6998521089553833,0.5600000023841858,0.4399999976158142,0.0
cifar2_ntrain500__rep3,APGD,0.6878288388252258,0.5600000023841858,0.6937915086746216,0.5600000023841858,0.4399999976158142,0.0
cifar2_ntrain500__rep3,MIM,0.6878288388252258,0.5600000023841858,0.7085899710655212,0.5600000023841858,0.4399999976158142,0.0
cifar2_ntrain500__rep3,SA,0.6878288388252258,0.5600000023841858,0.7100347876548767,0.5600000023841858,0.4399999976158142,0.0
cifar2_ntrain500__rep4,FGSM,0.24017982184886932,0.9199999570846558,0.4703368544578552,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain500__rep4,PGD,0.24017982184886932,0.9199999570846558,0.3904743790626526,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain500__rep4,APGD,0.24017982184886932,0.9199999570846558,0.3427690863609314,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain500__rep4,MIM,0.24017982184886932,0.9199999570846558,0.47055646777153015,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain500__rep4,SA,0.24017982184886932,0.9199999570846558,0.3959365487098694,0.9199999570846558,0.08000004291534424,0.0
cifar2_ntrain500__rep5,FGSM,0.2453022301197052,0.9099999666213989,0.5092294812202454,0.8999999761581421,0.10000002384185791,0.009999990463256836
cifar2_ntrain500__rep5,PGD,0.2453022301197052,0.9099999666213989,0.44097900390625,0.9099999666213989,0.09000003337860107,0.0
cifar2_ntrain500__rep5,APGD,0.2453022301197052,0.9099999666213989,0.39830657839775085,0.9199999570846558,0.08000004291534424,-0.009999990463256836
cifar2_ntrain500__rep5,MIM,0.2453022301197052,0.9099999666213989,0.5092294812202454,0.8999999761581421,0.10000002384185791,0.009999990463256836
cifar2_ntrain500__rep5,SA,0.2453022301197052,0.9099999666213989,0.441465824842453,0.9099999666213989,0.09000003337860107,0.0
cifar2_ntrain1000__rep1,FGSM,0.27394717931747437,0.9149999618530273,0.558208703994751,0.5699999928474426,0.4300000071525574,0.3449999690055847
cifar2_ntrain1000__rep1,PGD,0.27394717931747437,0.9149999618530273,0.5016509890556335,0.5699999928474426,0.4300000071525574,0.3449999690055847
cifar2_ntrain1000__rep1,APGD,0.27394717931747437,0.9149999618530273,0.46815162897109985,0.5699999928474426,0.4300000071525574,0.3449999690055847
cifar2_ntrain1000__rep1,MIM,0.27394717931747437,0.9149999618530273,0.5588716268539429,0.5699999928474426,0.4300000071525574,0.3449999690055847
cifar2_ntrain1000__rep1,SA,0.27394717931747437,0.9149999618530273,0.4947410523891449,0.5399999618530273,0.46000003814697266,0.375
cifar2_ntrain1000__rep2,FGSM,0.3011340796947479,0.8899999856948853,0.5966758728027344,0.875,0.125,0.014999985694885254
cifar2_ntrain1000__rep2,PGD,0.3011340796947479,0.8899999856948853,0.5189536809921265,0.875,0.125,0.014999985694885254
cifar2_ntrain1000__rep2,APGD,0.3011340796947479,0.8899999856948853,0.4721452295780182,0.8799999952316284,0.12000000476837158,0.009999990463256836
cifar2_ntrain1000__rep2,MIM,0.3011340796947479,0.8899999856948853,0.5979340076446533,0.875,0.125,0.014999985694885254
cifar2_ntrain1000__rep2,SA,0.3011340796947479,0.8899999856948853,0.48642534017562866,0.8799999952316284,0.12000000476837158,0.009999990463256836
cifar2_ntrain1000__rep3,FGSM,0.286428302526474,0.9099999666213989,0.6092497706413269,0.429999977350235,0.5700000524520874,0.47999998927116394
cifar2_ntrain1000__rep3,PGD,0.286428302526474,0.9099999666213989,0.5712217688560486,0.429999977350235,0.5700000524520874,0.47999998927116394
cifar2_ntrain1000__rep3,APGD,0.286428302526474,0.9099999666213989,0.5476592183113098,0.429999977350235,0.5700000524520874,0.47999998927116394
cifar2_ntrain1000__rep3,MIM,0.286428302526474,0.9099999666213989,0.6112697720527649,0.429999977350235,0.5700000524520874,0.47999998927116394
