name,top1_error_train,top1_error_test,top5_error_train,top5_error_test
cifar2_ntrain500__rep1,0.026666641235351562,0.06999999284744263,0.026666641235351562,0.06999999284744263
cifar2_ntrain500__rep2,0.013333320617675781,0.050000011920928955,0.013333320617675781,0.050000011920928955
cifar2_ntrain500__rep3,0.5311111211776733,0.5600000023841858,0.5311111211776733,0.5600000023841858
cifar2_ntrain500__rep4,0.019999980926513672,0.09000003337860107,0.019999980926513672,0.08000004291534424
cifar2_ntrain500__rep5,0.01555556058883667,0.09000003337860107,0.01555556058883667,0.09000003337860107
cifar2_ntrain1000__rep1,0.5299999713897705,0.5700000524520874,0.017777740955352783,0.08500003814697266
cifar2_ntrain1000__rep2,0.019999980926513672,0.11500000953674316,0.019999980926513672,0.11000001430511475
cifar2_ntrain1000__rep3,0.016666650772094727,0.09500002861022949,0.016666650772094727,0.09000003337860107
cifar2_ntrain1000__rep4,0.016666650772094727,0.08500003814697266,0.014444410800933838,0.06999999284744263
cifar2_ntrain1000__rep5,0.4699999690055847,0.4300000071525574,0.019999980926513672,0.08000004291534424
cifar2_ntrain2000__rep1,0.010555505752563477,0.06499999761581421,0.010555505752563477,0.06499999761581421
cifar2_ntrain2000__rep2,0.00944441556930542,0.07250005006790161,0.00944441556930542,0.06499999761581421
cifar2_ntrain2000__rep3,0.011111080646514893,0.07750004529953003,0.011111080646514893,0.07750004529953003
cifar2_ntrain2000__rep4,0.008888840675354004,0.06749999523162842,0.008888840675354004,0.06499999761581421
cifar2_ntrain2000__rep5,0.5183333158493042,0.5475000143051147,0.008333325386047363,0.050000011920928955
cifar2_ntrain5000__rep1,0.0059999823570251465,0.04999995231628418,0.0059999823570251465,0.04999995231628418
cifar2_ntrain5000__rep2,0.005555570125579834,0.05199992656707764,0.005555570125579834,0.05199992656707764
cifar2_ntrain5000__rep3,0.007111072540283203,0.04999995231628418,0.007111072540283203,0.04999995231628418
cifar2_ntrain5000__rep4,0.00577777624130249,0.06599998474121094,0.00577777624130249,0.06599998474121094
cifar2_ntrain5000__rep5,0.0339999794960022,0.08799993991851807,0.032666683197021484,0.08699995279312134
cifar2_ntrain10000__rep1,0.004777789115905762,0.042999982833862305,0.004777789115905762,0.042999982833862305
cifar2_ntrain10000__rep2,0.011444449424743652,0.04949992895126343,0.010111093521118164,0.04699993133544922
cifar2_ntrain10000__rep3,0.007222235202789307,0.04649996757507324,0.005111098289489746,0.04599994421005249
cifar2_ntrain10000__rep4,0.0038889050483703613,0.036499977111816406,0.003777742385864258,0.036499977111816406
cifar2_ntrain10000__rep5,0.004444420337677002,0.045499980449676514,0.004444420337677002,0.045499980449676514
cifar2_ntrain500_1_5_rep1,0.46888887882232666,0.5600000023841858,0.02888888120651245,0.25999999046325684
cifar2_ntrain500_1_5_rep2,0.024444401264190674,0.21000003814697266,0.024444401264190674,0.21000003814697266
cifar2_ntrain500_1_5_rep3,0.46888887882232666,0.5600000023841858,0.02888888120651245,0.27000004053115845
cifar2_ntrain500_1_5_rep4,0.46888887882232666,0.5600000023841858,0.03333330154418945,0.2800000309944153
cifar2_ntrain500_1_5_rep5,0.5311111211776733,0.5600000023841858,0.5311111211776733,0.5600000023841858
cifar2_ntrain1000_1_5_rep1,0.03333330154418945,0.23500001430511475,0.03333330154418945,0.23000001907348633
cifar2_ntrain1000_1_5_rep2,0.5222222208976746,0.5049999952316284,0.47777777910232544,0.4950000047683716
cifar2_ntrain1000_1_5_rep3,0.032222211360931396,0.19499999284744263,0.032222211360931396,0.19499999284744263
cifar2_ntrain1000_1_5_rep4,0.0366666316986084,0.17500001192092896,0.0366666316986084,0.17000001668930054
cifar2_ntrain1000_1_5_rep5,0.04222220182418823,0.21500003337860107,0.041111111640930176,0.20500004291534424
cifar2_ntrain2000_1_5_rep1,0.5083333253860474,0.5275000333786011,0.49166667461395264,0.5275000333786011
cifar2_ntrain2000_1_5_rep2,0.017222225666046143,0.12999999523162842,0.01611107587814331,0.1274999976158142
cifar2_ntrain2000_1_5_rep3,0.02222222089767456,0.11750000715255737,0.02111107110977173,0.11750000715255737
cifar2_ntrain2000_1_5_rep4,0.49166667461395264,0.5275000333786011,0.019444406032562256,0.1274999976158142
cifar2_ntrain2000_1_5_rep5,0.019444406032562256,0.15000003576278687,0.0183333158493042,0.15000003576278687
cifar2_ntrain5000_1_5_rep1,0.011777758598327637,0.10099995136260986,0.011777758598327637,0.10099995136260986
cifar2_ntrain5000_1_5_rep2,0.011999964714050293,0.09499996900558472,0.011999964714050293,0.09499996900558472
