name,generalization_error,precision,recall,f1_score
mnist_ntrain10000__rep5,-0.010589689016342163,0.9522799575821845,0.9432773109243697,0.9477572559366755
mnist_ntrain500_6_9_rep1,0.046481430530548096,0.7872340425531915,0.6981132075471698,0.74
mnist_ntrain500_6_9_rep2,0.046481430530548096,0.7872340425531915,0.6981132075471698,0.74
mnist_ntrain500_6_9_rep3,0.046481430530548096,0.7872340425531915,0.6981132075471698,0.74
mnist_ntrain500_6_9_rep4,0.046481430530548096,0.7872340425531915,0.6981132075471698,0.74
mnist_ntrain500_6_9_rep5,0.046481430530548096,0.7872340425531915,0.6981132075471698,0.74
mnist_ntrain1000_6_9_rep1,0.03221571445465088,0.7757009345794392,0.7904761904761904,0.7830188679245284
mnist_ntrain1000_6_9_rep2,0.03221571445465088,0.7757009345794392,0.7904761904761904,0.7830188679245284
mnist_ntrain1000_6_9_rep3,0.03221571445465088,0.7757009345794392,0.7904761904761904,0.7830188679245284
mnist_ntrain1000_6_9_rep4,0.03221571445465088,0.7757009345794392,0.7904761904761904,0.7830188679245284
mnist_ntrain1000_6_9_rep5,0.03221571445465088,0.7757009345794392,0.7904761904761904,0.7830188679245284
mnist_ntrain2000_6_9_rep1,-0.008577316999435425,0.8121827411167513,0.7692307692307693,0.7901234567901234
mnist_ntrain2000_6_9_rep2,-0.008577316999435425,0.8121827411167513,0.7692307692307693,0.7901234567901234
mnist_ntrain2000_6_9_rep3,-0.008577316999435425,0.8121827411167513,0.7692307692307693,0.7901234567901234
mnist_ntrain2000_6_9_rep4,-0.008577316999435425,0.8121827411167513,0.7692307692307693,0.7901234567901234
mnist_ntrain2000_6_9_rep5,-0.008577316999435425,0.8121827411167513,0.7692307692307693,0.7901234567901234
mnist_ntrain5000_6_9_rep1,-0.007277578115463257,0.7898832684824902,0.7852998065764023,0.7875848690591658
mnist_ntrain5000_6_9_rep2,-0.007277578115463257,0.7898832684824902,0.7852998065764023,0.7875848690591658
mnist_ntrain5000_6_9_rep3,-0.007277578115463257,0.7898832684824902,0.7852998065764023,0.7875848690591658
mnist_ntrain5000_6_9_rep4,-0.007277578115463257,0.7898832684824902,0.7852998065764023,0.7875848690591658
mnist_ntrain5000_6_9_rep5,-0.007277578115463257,0.7898832684824902,0.7852998065764023,0.7875848690591658
