name,generalization_error,precision,recall,f1_score
cifar2_ntrain500__rep1,0.04891130328178406,0.9512195121951219,0.8863636363636364,0.9176470588235294
cifar2_ntrain500__rep2,0.09531863778829575,0.9534883720930233,0.9318181818181818,0.9425287356321839
cifar2_ntrain500__rep3,-0.0033879876136779785,0.0,0.0,0.0
cifar2_ntrain500__rep4,0.13027846813201904,0.9736842105263158,0.8409090909090909,0.9024390243902439
cifar2_ntrain500__rep5,0.11520364880561829,0.926829268292683,0.8636363636363636,0.8941176470588236
cifar2_ntrain1000__rep1,0.10448245704174042,0.9259259259259259,0.872093023255814,0.8982035928143712
cifar2_ntrain1000__rep2,0.18084990978240967,0.9444444444444444,0.7906976744186046,0.8607594936708861
cifar2_ntrain1000__rep3,0.11983703076839447,0.9146341463414634,0.872093023255814,0.8928571428571429
cifar2_ntrain1000__rep4,0.09039294719696045,0.9390243902439024,0.8953488372093024,0.9166666666666666
cifar2_ntrain1000__rep5,0.08961790800094604,0.9487179487179487,0.8604651162790697,0.9024390243902439
cifar2_ntrain2000__rep1,0.10338655114173889,0.9340659340659341,0.9392265193370166,0.9366391184573003
cifar2_ntrain2000__rep2,0.09544137120246887,0.9329608938547486,0.9226519337016574,0.9277777777777778
cifar2_ntrain2000__rep3,0.10717529058456421,0.9120879120879121,0.9171270718232044,0.9146005509641874
cifar2_ntrain2000__rep4,0.12434013187885284,0.9428571428571428,0.9116022099447514,0.9269662921348315
cifar2_ntrain2000__rep5,0.09302867949008942,0.9351351351351351,0.9558011049723757,0.9453551912568307
cifar2_ntrain5000__rep1,0.09119647741317749,0.9516806722689075,0.94375,0.9476987447698745
cifar2_ntrain5000__rep2,0.08111205697059631,0.9478079331941545,0.9458333333333333,0.9468196037539103
cifar2_ntrain5000__rep3,0.07464373111724854,0.9423868312757202,0.9541666666666667,0.94824016563147
cifar2_ntrain5000__rep4,0.11580956727266312,0.9404255319148936,0.9208333333333333,0.9305263157894736
cifar2_ntrain5000__rep5,0.08794857561588287,0.8924302788844621,0.9333333333333333,0.9124236252545825
cifar2_ntrain10000__rep1,0.06326739490032196,0.967280163599182,0.946,0.9565217391304348
cifar2_ntrain10000__rep2,0.0694432482123375,0.9616548940464178,0.953,0.957307885484681
cifar2_ntrain10000__rep3,0.06810048967599869,0.9680741503604532,0.94,0.9538305428716387
cifar2_ntrain10000__rep4,0.0702027827501297,0.9621513944223108,0.966,0.9640718562874252
cifar2_ntrain10000__rep5,0.0703793615102768,0.955,0.955,0.955
cifar2_ntrain500_1_5_rep1,0.40510624647140503,0.7021276595744681,0.75,0.7252747252747253
cifar2_ntrain500_1_5_rep2,0.3405872583389282,0.7804878048780488,0.7272727272727273,0.7529411764705882
cifar2_ntrain500_1_5_rep3,0.4119892120361328,0.6808510638297872,0.7272727272727273,0.7032967032967034
cifar2_ntrain500_1_5_rep4,0.39135682582855225,0.6956521739130435,0.7272727272727273,0.7111111111111111
cifar2_ntrain500_1_5_rep5,0.012105345726013184,0.44,1.0,0.6111111111111112
cifar2_ntrain1000_1_5_rep1,0.3891422152519226,0.7978723404255319,0.7425742574257426,0.7692307692307693
cifar2_ntrain1000_1_5_rep2,0.0016946792602539062,0.505,1.0,0.6710963455149501
cifar2_ntrain1000_1_5_rep3,0.27059173583984375,0.8163265306122449,0.7920792079207921,0.8040201005025126
cifar2_ntrain1000_1_5_rep4,0.26568955183029175,0.8602150537634409,0.7920792079207921,0.8247422680412371
cifar2_ntrain1000_1_5_rep5,0.28422805666923523,0.8333333333333334,0.7425742574257426,0.7853403141361257
cifar2_ntrain2000_1_5_rep1,0.0008934736251831055,0.4725,1.0,0.6417657045840407
cifar2_ntrain2000_1_5_rep2,0.23265007138252258,0.8556701030927835,0.8783068783068783,0.8668407310704961
cifar2_ntrain2000_1_5_rep3,0.15553070604801178,0.8704663212435233,0.8888888888888888,0.8795811518324608
cifar2_ntrain2000_1_5_rep4,0.18786534667015076,0.875,0.8518518518518519,0.8632707774798928
cifar2_ntrain2000_1_5_rep5,0.20506827533245087,0.8208955223880597,0.873015873015873,0.8461538461538461
cifar2_ntrain5000_1_5_rep1,0.21690936386585236,0.9007782101167315,0.9114173228346457,0.9060665362035225
cifar2_ntrain5000_1_5_rep2,0.1728830337524414,0.8994197292069632,0.9153543307086615,0.9073170731707317
cifar2_ntrain5000_1_5_rep3,0.15327054262161255,0.884469696969697,0.9192913385826772,0.9015444015444015
cifar2_ntrain5000_1_5_rep4,0.14518730342388153,0.9043824701195219,0.8937007874015748,0.899009900990099
cifar2_ntrain5000_1_5_rep5,0.17065557837486267,0.8798449612403101,0.8937007874015748,0.88671875
